bundesland;schulart;schulfach;lehrplan;jahrgangsstufe;schulstufe;niveaustufe;bildungsgangniveau;niveau;stufen_quelle;rollen;klasse;eltern;knoten;knoten_uri;lehrplan_uri
Rheinland-Pfalz;Berufsbildende Schule;Physik;Berufliches Gymnasium - Unterrichtsfach: Physik;;;;;;keine;kompetenz;Kompetenz (RP) | http://purl.obolibrary.org/obo/BFO_0000001 | http://purl.obolibrary.org/obo/BFO_0000002 | http://purl.obolibrary.org/obo/BFO_0000031 | http://purl.obolibrary.org/obo/IAO_0000030 | http://www.w3.org/2002/07/owl#NamedIndividual | Curriculares Element | CE-Kompetenzspezifikation | Element (RP);"Lernbereich 8:
Kernphysik verstehen und Chancen und Risiken ihrer Nutzung einschätzen";Gesellschaftspolitische Dimensionen der Nutzung von Kernenergie und ionisierender Strahlung im globalen Kontext beurteilen und kritisch erörtern.;https://lp-rlp.org/resource/kompetenz-22606-1;https://lp-rlp.org/resource/lehrplan-323-1
Rheinland-Pfalz;Berufsbildende Schule;Physik;Berufliches Gymnasium - Unterrichtsfach: Physik;;;;;;keine;kompetenz;Kompetenz (RP) | http://purl.obolibrary.org/obo/BFO_0000001 | http://purl.obolibrary.org/obo/BFO_0000002 | http://purl.obolibrary.org/obo/BFO_0000031 | http://purl.obolibrary.org/obo/IAO_0000030 | http://www.w3.org/2002/07/owl#NamedIndividual | Curriculares Element | CE-Kompetenzspezifikation | Element (RP);"Lernbereich 7:
Quantenobjekte und Atommodelle beschreiben";Licht sowohl als Welle als auch als Teilchen verstehen.;https://lp-rlp.org/resource/kompetenz-22598-1;https://lp-rlp.org/resource/lehrplan-323-1
Rheinland-Pfalz;Berufsbildende Schule;Physik;Berufliches Gymnasium - Unterrichtsfach: Physik;;;;;;keine;kompetenz;Kompetenz (RP) | http://purl.obolibrary.org/obo/BFO_0000001 | http://purl.obolibrary.org/obo/BFO_0000002 | http://purl.obolibrary.org/obo/BFO_0000031 | http://purl.obolibrary.org/obo/IAO_0000030 | http://www.w3.org/2002/07/owl#NamedIndividual | Curriculares Element | CE-Kompetenzspezifikation | Element (RP);"Lernbereich 8:
Kernphysik verstehen und Chancen und Risiken ihrer Nutzung einschätzen";Verschiedene Arten ionisierender Strahlung und deren Wirkungen unterscheiden und beurteilen.;https://lp-rlp.org/resource/kompetenz-22603-1;https://lp-rlp.org/resource/lehrplan-323-1
Rheinland-Pfalz;Berufsbildende Schule;Physik;Berufliches Gymnasium - Unterrichtsfach: Physik;;;;;;keine;themenbereich;Kompetenzbereich (RP) | http://purl.obolibrary.org/obo/BFO_0000001 | http://purl.obolibrary.org/obo/BFO_0000002 | http://purl.obolibrary.org/obo/BFO_0000031 | http://purl.obolibrary.org/obo/IAO_0000030 | http://www.w3.org/2002/07/owl#NamedIndividual | Curriculares Element | Element (RP) | CE-Bereich;Berufliches Gymnasium - Unterrichtsfach: Physik;"Wahlpflichtlernbereich 9:
Thermodynamische Systeme erklären und nutzen";https://lp-rlp.org/resource/kompetenzbereich-5289-1;https://lp-rlp.org/resource/lehrplan-323-1
Rheinland-Pfalz;Berufsbildende Schule;Physik;Berufliches Gymnasium - Unterrichtsfach: Physik;;;;;;keine;themenbereich;Kompetenzbereich (RP) | http://purl.obolibrary.org/obo/BFO_0000001 | http://purl.obolibrary.org/obo/BFO_0000002 | http://purl.obolibrary.org/obo/BFO_0000031 | http://purl.obolibrary.org/obo/IAO_0000030 | http://www.w3.org/2002/07/owl#NamedIndividual | Curriculares Element | Element (RP) | CE-Bereich;Berufliches Gymnasium - Unterrichtsfach: Physik;"Wahlpflichtlernbereich 11:
Aussagen der speziellen Relativitätstheorie interpretieren";https://lp-rlp.org/resource/kompetenzbereich-5291-1;https://lp-rlp.org/resource/lehrplan-323-1
Rheinland-Pfalz;Berufsbildende Schule;Physik;Berufliches Gymnasium - Unterrichtsfach: Physik;;;;;;keine;themenbereich;Kompetenzbereich (RP) | http://purl.obolibrary.org/obo/BFO_0000001 | http://purl.obolibrary.org/obo/BFO_0000002 | http://purl.obolibrary.org/obo/BFO_0000031 | http://purl.obolibrary.org/obo/IAO_0000030 | http://www.w3.org/2002/07/owl#NamedIndividual | Curriculares Element | Element (RP) | CE-Bereich;Berufliches Gymnasium - Unterrichtsfach: Physik;"Wahlpflichtlernbereich 10:
Modelle und Zusammenhänge der Astrophysik erklären";https://lp-rlp.org/resource/kompetenzbereich-5290-1;https://lp-rlp.org/resource/lehrplan-323-1
Rheinland-Pfalz;Berufsbildende Schule;Physik;Berufliches Gymnasium - Unterrichtsfach: Physik (vom 13.06.2022);;;;;;keine;kompetenz;Kompetenz (RP) | http://purl.obolibrary.org/obo/BFO_0000001 | http://purl.obolibrary.org/obo/BFO_0000002 | http://purl.obolibrary.org/obo/BFO_0000031 | http://purl.obolibrary.org/obo/IAO_0000030 | http://www.w3.org/2002/07/owl#NamedIndividual | Curriculares Element | CE-Kompetenzspezifikation | Element (RP);Lernbereich 6: Mechanische und elektromagnetische Schwingungen und Wellen analysieren;Beugung und Interferenz am Einzel- und am Doppelspalt (auch mit polychromatischem Licht) analysieren und quantitativ beschreiben.;https://lp-rlp.org/resource/kompetenz-29126-1;https://lp-rlp.org/resource/lehrplan-363-1
Rheinland-Pfalz;Berufsbildende Schule;Physik;Berufliches Gymnasium - Unterrichtsfach: Physik (vom 13.06.2022);;;;;;keine;kompetenz;Kompetenz (RP) | http://purl.obolibrary.org/obo/BFO_0000001 | http://purl.obolibrary.org/obo/BFO_0000002 | http://purl.obolibrary.org/obo/BFO_0000031 | http://purl.obolibrary.org/obo/IAO_0000030 | http://www.w3.org/2002/07/owl#NamedIndividual | Curriculares Element | CE-Kompetenzspezifikation | Element (RP);Lernbereich 6: Mechanische und elektromagnetische Schwingungen und Wellen analysieren;Brechung, Reflexion und Beugung von Wellen phänomenologisch beschreiben.;https://lp-rlp.org/resource/kompetenz-29123-1;https://lp-rlp.org/resource/lehrplan-363-1
Rheinland-Pfalz;Berufsbildende Schule;Physik;Berufliches Gymnasium - Unterrichtsfach: Physik (vom 13.06.2022);;;;;;keine;kompetenz;Kompetenz (RP) | http://purl.obolibrary.org/obo/BFO_0000001 | http://purl.obolibrary.org/obo/BFO_0000002 | http://purl.obolibrary.org/obo/BFO_0000031 | http://purl.obolibrary.org/obo/IAO_0000030 | http://www.w3.org/2002/07/owl#NamedIndividual | Curriculares Element | CE-Kompetenzspezifikation | Element (RP);Lernbereich 8: Kernphysik verstehen und Chancen und Risiken ihrer Nutzung einschätzen;Gesellschaftspolitische Dimensionen der Nutzung von Kernenergie und ionisierender Strahlung im globalen Kontext beurteilen und kritisch erörtern.;https://lp-rlp.org/resource/kompetenz-29145-1;https://lp-rlp.org/resource/lehrplan-363-1
Rheinland-Pfalz;Berufsbildende Schule;Physik;Berufliches Gymnasium - Unterrichtsfach: Physik (vom 13.06.2022);;;;;;keine;themenbereich;Kompetenzbereich (RP) | http://purl.obolibrary.org/obo/BFO_0000001 | http://purl.obolibrary.org/obo/BFO_0000002 | http://purl.obolibrary.org/obo/BFO_0000031 | http://purl.obolibrary.org/obo/IAO_0000030 | http://www.w3.org/2002/07/owl#NamedIndividual | Curriculares Element | Element (RP) | CE-Bereich;Berufliches Gymnasium - Unterrichtsfach: Physik (vom 13.06.2022);Lernbereich 10: Modelle und Zusammenhänge der Astrophysik erklären (Wahlpflichtlernbereich);https://lp-rlp.org/resource/kompetenzbereich-6710-1;https://lp-rlp.org/resource/lehrplan-363-1
